1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
Norway,88987705.63,40687313.29,1908124.683,830663.2408,1507528.753,3351687.949,,,,94831.53644,889574.3467,12047278.52,2064103.954,,,16125867.89,,204601.2244,,47892.85774,49724.85337,1105760351,564071.9111,11013836.24,279419.9151,197507511.4,,76423.58598,14231579.7,4391153.129,104423.048,,,1099734.271,1528471.72,2192476.365,11360640.52,12643664.34,,20429382.08,444787.2574,,10742.09925,1591075.124,1681061.742,434249.4231,305694.3439,,,135038.948,596705.6841,598984.8953,,6515536.568,10171565.89,13857628.29,6113.886879,6113.886879,,85930.68008,5897990.554,2821903.266,,,,5495716.728,,,27005191.19,61581578.48,16900.92319,6972670.162,34289058.19,6764186.375,7055075.545,,,,345128.9143,1416859.23,10869699.93,,2292707.579,7353361.768,,4653224.767,1592524.314,,8252282.873,835212.2783,10498029.69,,5012111.731,3086227.918,20304026.42,27030.71667,31729.69727,7762131.935,,544747.3209,,,46074.52664,,9867905.054,2431686.989,590951.7523,2562324.488,,19779.64683,21454519.04,14681544.03,1455013.98,820809.3364,,19445929.23,8138883.706,1673217.991,681084.889,,53698.26845,,,68153918.9,,90822432.68,2184802.673,152847.172,50604.64169,872120.132,2834747.274,,,,1615122.157,,,,127749.2995,12373654.64,,1178365.337,6113.886879,24499918.71,1784490.733,5614454.541,5851132.808,681603.6217,21052790.8,15207581.89,,,,,34390.61369,89311989.37,,1033481.961,1203995.072,1174638.786,39519592.22,800216.9248,1595275.563,,,,,,121804.5227,290409.6267,,29844122.7,691208.859,,,232327.7014,,57619.22639,5694660.33,,,92111.81971,6947394.468,16096912.66,2364928603
OPEC Fund for International Development (OFID),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSCE,,,3837430.173,,,,,,,,3247607.365,,3301336.163,,,,,1125916.818,,,,40987935.52,,17771098.54,,,,,,,,,,,,,,,,,,,,,1792153.917,,,,,,,,,,,223273.0063,,,,,,,,,,,,,,,,,,,,,,,,2458391.016,,,,28009419.55,,7944698.311,,,,,,,9661631.911,,,,,,,,,,,,,2475106.642,,2811807.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9057481.423,,,,,,,,,,,,,,,,,,,,7020562.98,,,,,,,,,,1436349.875,,,2987321.186,,,2157509.746,,,,,,,,,148307031.2
Portugal,14570847.46,303253.3474,,15692.26228,945806.9303,15715709.08,,,,46326.12566,,186690.1268,2250.606212,,,,,,,,,32330759.85,,3767939.025,6129.251923,8419304.347,,,,,1329.152383,118351963.6,,,1003631.257,43546.61321,121615.377,19610.85143,,214406.7417,,,,3395.192357,32381.73319,10104.31283,,,,,10291.63379,122798.5293,,,2754.719965,14628.94038,,,,2658.304767,311835.6774,1329.152383,,,,123791.6058,43849.63241,16343823.8,,115658.2951,1329.152383,404771.6649,1446.227982,3986.07979,,,5833.119527,,,,1088.114386,,,,,,,,,,,2754.719965,10514.76611,,,,,12396.23984,,,,,26073.42447,,,2754.719965,,,,158052.058,117113218.4,,,,,,,,2017.832375,,100271.8067,,,553.698713,,14706.07253,1823.624617,4722.967381,,22422.04316,,,,,575912.7748,,26746219.37,,270689.8027,13039451.8,,6644.384556,,,,50444.43201,226053.6977,,3309903.472,38088.1356,,,40363.53429,9828.840836,717906.1928,,,,,,,38917.30631,35001784.54,,,,,34684.67908,3662.400194,,,,15573.80932,,39774.02422,,,156682.9622,245.1700769,,,,,64745.56071,411484427.1
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,536670.3316,,120087.5249,,,,,,,,,,3186.55728,,,,,2049.697893,,,,6315488.584,,967194.9546,,,,35615.7642,34113.52274,,,890.887767,,,13120.58567,,24706.06282,104964.6854,,39361.75701,,,,,3228796.762,,,,,,32801.46417,,,,26241.17134,,,,,,118642.5548,,89863.41607,,,,,,,328014.6417,,1557.21671,,,30026.3947,,,,,,,,,789570.9849,,15744.7028,,,,,,,1204085.752,52108.40599,26241.17134,,,,,,,,,,,40151.28825,,1621922.735,,,,,,,,,,26241.17134,18368.81994,,,,,39361.75701,,170567.6137,,,,,,,,,43768.21386,,,,,524041.4268,,15820.15929,,,,19680.8785,,,,,,,,,2057387.987,39361.75701,,,,2739.735735,,,,,,,,,,274.0496729,,50898.11068,47889.71784,,,,,,,,,,,,18859620.98
Spain,43240897.28,47158942.48,821258.546,7390128.269,305806781.7,6666601.975,,28884.86376,,17063788.14,267215.0369,7487254.509,64394.97846,,,5672861.16,44505.36575,267388.4451,34121.09236,1110393.72,,924406184,65795688.99,1437158.549,,14661472.57,,9583593.293,925619.9131,6223682.706,5333980.357,19066717.71,3414636.544,9459841.349,7163546.326,10723757.25,2818559.973,53036552.88,,318243878.1,511180.1653,,6276400.251,2914042.035,462089.1589,40159842.32,21065.05374,,49187163.1,66540125.48,4954191.096,77758377.05,16593996.41,187295.8543,38692387.58,6863130.837,20739874.65,,149919.8983,4162439.258,133322.3224,2073520.238,,,67287.76986,77630078.88,2134705.595,6527459.856,5336.064224,158141092.3,58948756.52,9544205.719,1412737.685,207121.4488,399186.6602,,537901.974,,4682897.089,117256.7222,5516180.152,,,77076.48324,,921265.7424,,,6243684.179,,1262108.731,236393.1336,369507.0562,329426.5619,663564.1279,107992.0842,,26717816.35,,29839464.78,29105.45665,,44466015.65,,12183542.33,61137.39022,489686.3151,34337.57328,,41511414.39,39249018.88,5549.506793,28417564.06,5076506.699,,233439.3095,38868286.72,24523509.43,515707.3096,,47338371.94,3647403.239,8947.913763,23677919.91,,96558416.53,8078399.645,154152.9665,21279499.96,76450732.87,16011884.92,,,,1377645.883,,1317371.102,,32838205.97,608292.0669,518929.0665,1995990.743,,6170320.36,,1154147.757,26396018.09,9247360.22,101224824.3,663943.6756,,28883.29602,85961.7631,,,22286855.31,,,4732903.463,24889.53797,2457663.244,601913.0475,6287295.375,1661527.823,,,113142.3595,42549094.35,1139551.985,,,5410277.437,276318.6976,,10790501.66,242651.7683,34584.94255,8122715.779,16734978.76,,496680.858,1609782.432,168873.0332,3794032.696,3468475834
Sweden,55751620.2,45764588.7,2895102.979,884.5381966,1166860.109,1103048.292,,,,156531.7674,1446171.998,3510786.017,961759.6124,,,14968941.01,,10638233.25,,1747692.601,,818035531.8,10453234.85,7690456.254,2605895.147,1955917.299,,7782497.152,3300675.211,15998454.96,462422.3129,,7468159.364,3768563.646,10354781.66,364313.0946,1419401.666,11421132.83,,51010423.41,1441959.653,,401897.8678,897093.0661,80622.18975,,68041.39974,,,175482.01,1355515.193,1346012.725,,298604.5429,17738005.66,9434113.353,770779.4564,,,834544.6162,8979614.141,308532.8847,,,,12305026.25,930495.6908,,,30719918.25,1991617.52,6144256.435,1807357.262,442753.1643,19898324.9,,,,154201.9637,515170.598,10343504.94,,,7017087.295,,4221621.259,234875.6718,,592220.3071,173667.5727,14780923.96,,1550579.518,791386.4099,2274933.744,511541.7234,,3917082.599,,454181.5274,,,27605.36789,,8234366.61,6957539.99,145214.8625,203039.3718,,889.7223033,10926439.45,2385855.482,5528270.674,1848520.495,,1239711.452,1877123.155,7811152.69,165502.6047,,424614.8823,,,33723101.41,,31025804.24,34147.32167,1555.231994,1337726.449,989299.6606,5538085.095,,,,10484297.62,22680.46658,,,340782.6173,9638536.618,,620080.9754,,11031174.2,7116374.829,9963052.808,5925298.463,1690283.027,47551735.85,5379292.669,,,,,,44423516.17,,,22382.99217,337246.8738,23517052.96,617787.9155,4521707.42,330334.5156,,,,,7584416.032,,,16925188.02,15522621.7,,95257.95964,215399.6312,,,4591060.917,,,6153540.94,2873160.729,16269522.17,1634296982
Switzerland,7796046.827,2435442.086,6568495.766,1016036.354,1867536.594,346350.207,,,,378688.132,1851564.37,8542257.37,1818856.926,,,8720461.056,,531278.9433,,3281370.063,5528.953068,646704417.7,8009175.067,10782879.42,,1056371.91,,6101135.206,7881612.904,2837842.977,1005289.912,649610.5183,20051333.45,2358249.608,5714813.433,1711069.986,3302453.804,9719107.01,,3263525.367,10217595.58,,104091.7564,2394068.931,69533.03527,277184.8471,138223.8267,,14743.87485,510328.8186,1143337.734,223968.6739,45153.11672,499909.5066,3646541.748,6774497.185,1094042.51,,9445.294824,,3357600.503,3367478.899,,,,1058800.041,1413519.24,171999.2795,,20527826.92,151124.7172,1313296.83,3563361.413,167005.7134,3294988.796,,,,1301793.843,11126.09656,3660040.687,,4753311.907,41278264.23,,6534063.289,4064206.234,,4564569.115,350167.0276,4042508.779,140286.1262,1871155.293,5373628.189,154067.9632,691.1191335,,5823277.67,,346167.7516,,,216870.4196,,2088468.029,2694156.544,1976883.62,,,2050285.079,10475035.61,3846648.382,13132487.28,124401.444,,11327412.19,5435775.465,10944325.77,480218.1402,,262523.9066,552.8953068,,12997950.34,,15933860.36,,92149.2178,73719.37424,7273547.861,251356.3429,,,,1031291.657,46074.6089,,,822367.2644,2450960.015,,59879.48322,,8287824.165,,4177973.659,1539579.37,428264.4112,8803560.3,7794143.024,,,,,,14181059.68,,32712.97232,2073099.383,3299236.875,6840052.139,1758902.802,,964371.052,,,,205152.7251,231055.8702,14621.31639,,1034891.005,11137846.5,,34069.4088,284366.0357,,28105.51143,8022435.339,,,3855128.874,221333.2062,5432811.946,1122899595
Taiwan,,,,,,,,,,,,,,,795921.2018,,,,1077587.744,,,,,,,,,985187.7513,,,,,,,,,,,,,,,,,,,,,1462838.573,460370.2441,,973292.9007,,,,,,670784.19,,2246066.486,,,,,,1679767.676,,,,1792841.678,1437291.778,,769601.6708,,,,,,,,,907480.8525,,,,,,,,,,,,,,,,,648733.9756,,,,,,,,,,,,,,1377238.157,,624026.3425,,1358710.564,,,,,,,,475317.2846,,699769.82,538102.0451,1691057.826,,,,,,,,1925590.773,219703.7064,,,,,1025402.461,,,,,,,,,1144634.803,951786.3778,647988.2965,,,,3031098.865,,,,,,,,,,,,,468915.3413,,,,,,,,,,,,,,32087109.38
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,179267039.8,121872229.5,812626.8753,2238619.258,10188691.31,13606799.95,87388.28043,4775.185982,,528616.321,612266.8117,30417201.94,845690.645,,,36123357.75,78503.88154,360099.3385,77048.71738,,,1761849374,81981.03696,4895518.503,1033603.041,44655913.56,,215082.7347,15989436.76,2136708.836,935678.3735,,2957947.001,,2121106.991,646638.1379,85712528.16,2584285.757,118743.827,68984161.77,77097471.15,,750849.1333,25523175.36,1026494.35,377356.318,4978.210694,294546.3529,54101.51174,187572.9392,16394760.62,21853.84793,,1495265.224,187389288.1,8845984.069,,518491.4709,160222.1673,15232.05489,3361272.927,41115995.11,,,1392.897404,200805.0033,,71066.96553,68626.6469,25619665.73,24649747.18,254541623.1,44369663.76,,15399981.84,,1304114.411,,2448111.26,1682657.941,57583690.48,54417.44221,399793.0965,6420307.153,,2231626.752,,,3879016.245,15743.01125,8758321.106,1542052.464,1123916.499,1892687.633,104338701.2,4145957.799,257165.6432,45869.94609,,,6993444.509,,9213177.826,,4359959.424,11524825.33,246411.9714,204295.3742,16229788.93,3231623.708,7049366.529,17257103.22,459083.5249,548052.6976,12096.50477,38193475.86,,2346512.883,96569706.51,,,5677200.282,909576.1273,151127052.7,18091.83495,27404033.28,39930.56225,1231852.296,10951.87301,1085225.406,852905.3028,,,,22635350.27,,,,1218764.634,3485579.151,42089.28937,39532744.72,217471.114,41918386.99,,58797668.08,,1100779.847,128557721.1,9152825.355,40785496.54,1815.670245,16160.62796,15574.24989,,77915946.6,,15971.1967,1904520.525,10324669.04,55400812.65,7029533.768,,30241.26193,,150211.1151,236667.8134,2469590.216,3672612.48,59014.31059,42219.82578,154316154.3,820686.096,,64498.56344,1205321.047,25053.14663,1066051.901,22593271.47,,4114798.503,25887842.33,23796104.38,32149061.42,4495286324
United Nations Children s Fund (UNICEF),38969755.76,,740169.5657,1090249.096,441155.6825,8215031.25,,,,767044.6581,783141.9767,996993.6153,1220632.424,,,23896603.11,,847630.3113,1141403.898,6363463.188,1005423.657,264640412.2,1383586.817,792443.7503,782111.7483,948929.4986,,18995182.59,9927102.426,7713765.704,6407525.264,272010.0122,5621649.219,,15484966.64,963214.0114,10894833.59,845183.5188,1059213.466,57224818.32,5540181.928,,782735.8289,9606097.129,388851.7798,842598.0418,939092.7987,,1612545.17,724319.8982,3815896.602,765479.5035,464930.1837,2900736.802,42990974.9,,,,699832.1619,1473711.989,852147.4665,9576943.647,,,,878438.1024,7180880.071,2587636.526,780467.3453,2319400.716,932475.5625,41799941.73,6856120.384,1395404.726,2926423.169,,800616.2351,,827184.2402,1237403.353,13444034.68,,2642704.215,1605244.417,,3056063.543,1965180.46,,742883.8212,1334106.137,5337464.681,,729163.9528,12722716.31,9776401.807,574332.5135,1088545.257,13171757.2,,2425930.294,,,894862.3204,,653273.7637,701635.0616,1397564.243,731115.4431,,1198967.909,15682512.93,18246731.58,,795891.053,,7947746.42,806956.1021,22621814.35,53907403.67,,,6076069.092,,23552011.53,,4286106.706,858289.2126,1549334.715,786916.1787,1143523.791,3349024.834,,,,11539895.25,,689232.6968,,6062963.398,905947.1816,,10187096.41,,11050388.17,,1154717.619,,580008.6757,1629900.556,732175.3896,,,,,,23021206.16,,1046900.256,818734.3862,2424275.985,20942175.56,1107614.388,1227923.271,3508224.838,,,,758792.925,962064.9105,852741.829,,19986044.37,1098193.742,,792513.0926,3727079.028,,1184732.927,3668346.104,,4045241.291,7123781.643,8957766.481,5701125.396,1040227199
United Nations Development Programme (UNDP),13149108.94,188865.8562,744139.4715,721267.6089,17831.04433,2493303.803,,,,817715.2328,1404848.661,25755.69976,1350393.622,,,19572812.11,245619.4243,836809.347,602282.996,4956269.777,1432873.597,96441480.89,1527690.469,592001.7229,1206342.928,1372977.456,,7363638.079,12899111.88,9830204.503,3833108.469,870572.2493,4356405.222,,7819395.515,941849.6503,6272588.931,913456.863,1511610.01,15709175.59,1641986.156,64343.746,961291.6647,7098011.917,889009.9,666875.9186,1163343.384,105797.6301,1268061.622,865043.9645,2636894.559,792333.1592,628571.3338,7030217.361,17548214.36,,,2748417.822,844467.7578,2959333.636,1692642.822,6637460.669,,,155910.0092,760312.185,5294683.457,3885058.845,890650.4694,10454068.82,2001435.722,16519057.31,5485766.503,811542.3123,2011739.254,,793177.4413,,1258294.711,823852.4222,8655425.822,,893968.1119,850297.1268,,5664606.088,5930145.245,,2366797.978,2187452.333,8670839.841,228824.6313,681856.0931,4472726.011,9615178.186,521317.7334,781879.8676,8063481.356,,2439502.651,1070578.599,,144779.491,,,2312772.564,2440742.175,1047207.353,64508.74104,1226577.356,8087478.773,10198269.73,,1125504.017,,10026038.45,2352991.947,9716493.61,15291331.21,31236.60394,,,,12561953.6,,4134833.26,526437.0572,3940994.204,1345062.447,824103.8078,2403547.393,,,,7922545.984,750359.7033,1334142.492,,4541112.007,1066629.05,,5727894.672,909173.9857,8800208.988,,1078338.497,,,465052.8998,3356141.771,,,108327.7026,150599.3304,,8739988.681,500457.1638,1202682.487,1650020.322,5533149.659,10140011.44,1875768.048,2165760.954,5808661.715,100476.2627,,165619.0102,915784.0301,999261.8315,811138.0566,,4928684.352,1952921.921,,978875.2957,6826228.733,,643848.9669,7517747.17,,,7663587.222,6019634.746,9621151.272,607279104.4
United Nations Economic Commission for Europe (UNECE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239131.8582,,,,,,,,,,,,,,,,,,,,,,11888736.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12127868.38
United Nations Peacebuilding Fund (UNPBF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925950.73,,,,2327078.463,,,,,,1802488.675,5549686.806,,,,123522.551,,,,,,,,,,,,,,,,,,,,,,,4171441.495,47167.61984,,2282431.426,,,,,,,,,,,,,,,,303538.7652,,,,,12.15471376,,,,,,,,,,,,,,,,,,,,,,,,,1513871.153,,,,,,,,,,,,,,,,,,,,,,,,,,446434.3647,,,,,,,,1759897.736,,,,,,1608885.779,,,,,,,,,,,,,,,,601301.3865,,,,,,,,,,,,,25463709.11
United Nations Population Fund (UNFPA),5822414.976,,553767.57,207818.8589,6467763.906,1939741.744,,,,748827.4466,497382.3779,8940232.786,744290.4792,,,6533718.335,,433260.5668,,1983476.92,995359.1183,,1687405.131,552975.0866,1424954.45,1538140.887,,2865600.07,2369822.471,4139784.557,4063696.247,1168922.883,2571410.429,,3898205.907,181181.5115,3413097.115,1824930.715,805490.0078,7406906.235,2291059.529,,672451.8613,5067653.81,,698237.2891,731808.8661,,1545164.271,1092091.62,2617186.25,1407599.064,1053121.25,2481493.284,4997360.535,4127263.32,,,1209220.663,1302317.647,708727.7878,4120745.144,,,,1523252.106,2374537.747,1478615.48,,6553619.574,1937869.502,13177522.52,6207423.212,1453731.502,2216853.367,,,,742309.2708,617364.3608,4909692.062,,1133825.776,,,1047306.403,1620747.373,,637424.0962,1680748.271,2476916.693,,248106.7325,3755836.269,4287731.297,389515.4846,475232.4676,2645616.591,,2651084.726,77930.83383,,1405449.452,,,527199.5648,1807852.698,,,1836461.348,4078000.572,5875610.423,1608800.686,1288132.195,,3314363.593,1431541.968,3249261.084,6739328.146,,2686687.042,,313655.0136,10724380.33,,2002397.46,760110.4286,2152087.664,1032140.253,2198834.277,5278513.824,,,,2683695.417,,575788.7017,,2066885.795,685616.9914,110858.518,2576650.726,,1803672.348,,1661570.173,,,9618608.461,2925184.914,,,,,,6934536.614,,1274729.32,1897165.574,1229290.304,4554322.705,1765821.361,3030753.605,1444796.252,,,,499611.2374,1129239.278,688529.3678,,6767332.528,639811.4524,,806044.7462,1080422.303,,1234065.017,3951460.79,,,2248919.226,3646780.65,4515203.744,312583070.8
United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131692309.2,,,,,,,,,,70307931.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293242531.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44612531.01,,,,,,,,,,,,,,,,,,,,,,,,,,539855303.5
United States,984764626.6,,14360150.78,7942546.745,26140497.05,45015949.97,70.28795421,214735.6399,,3310682.43,22459745.57,45523700.25,27166270.54,,,80927515.09,75634.78858,28118437.7,2994625.219,57725030.77,117758.0625,5190634815,56486606.52,18531008.29,61086516.54,17580655.75,,30860504.44,18626531.6,25967697.58,14188293.77,4890553.686,17518382.6,9280819.493,114618247.2,12109607.71,69121225.64,226637302.2,126278.7445,186315367.9,20718449.61,60074.42148,5352337.625,65223018.09,828218.8039,8204514.9,7348574.923,71705.59294,16733807.67,24607391.04,34331457.26,116731614.9,125619.4237,73273.7073,640811292.9,10672899.16,14276908.07,1699612.231,1398040.279,6370477.452,139319580.5,99275352.97,,,15890.02751,72610193.96,6117748.697,6403392.014,9738291.118,932725700.2,59864138.73,31251718.28,33587627.56,1219459.377,1198989600,,7101152.415,,25176306.69,61588187.41,299942313.4,,4826099.632,51221679.39,,30366556.33,10423059.14,,40288305.94,22009434.41,39105434.91,6533058.439,10750760.39,67169560.81,63941354.86,17977357,942267.4445,78778571.77,67221016.54,8449648.595,395058.8915,,145871808.8,106021911.6,27806795.76,11224914.02,26659795.34,2451967.563,6543.709539,16633292.92,147699650,21818864.95,24093857.35,56033980.8,,9542936.144,23087045.76,96614625.23,212175473.5,,,50327281.01,2876905.765,343670880.1,14894116.49,470478078.2,10110360.9,1991959.632,12880828.92,55956207.67,52507056.98,,,,51804506.11,804747.5771,23493.99619,,34972002.28,29909172.82,9982.86944,24113864.66,222743.5168,33879994.76,3954953.698,227821707.7,2342428.242,28635906.53,154007664.2,36573235.13,,,,248715.4109,,390787494.5,1590999.523,13403432.73,562600.625,36931311.67,202755284.8,31525004.78,2169339.699,3793687.391,,1141502.116,764797.2899,888758.5119,4866174.656,5364538.03,,160937627.8,107770856,,600053.2149,11284016.29,2120340.086,6737647.865,83462309.58,,10946998.42,22823735.2,110633672.5,133555854.4,15822583854
WHO,,88919435.05,,,37203553.02,,,,,,,,,,,,,,,,,175289313.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24837031.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36557125.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362806458
World Bank - Carbon Finance Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Bank - International Bank for Reconstruction and Development (IBRD),,,,,,,,,,131210475.8,220409.4385,,,,,,,105266.5572,,,,,,43644294.23,,1020322345,,,,,,,,,,,12684687.01,495302109,,,,,,,269342507.3,,,,,,496045062.2,,,,,,,,,,9906042.181,,,,4457718.981,,,,,,,1622634.474,145660008.4,,247651054.5,,198120843.6,,,990604218.1,,,,,,,,133383619.7,,,,,,,,,,,,,49530.2109,,,,,,,,,216497561.3,,,,,,,,,,,,,,,,,,,,74295316.35,,1244743730,,,,,,,,,,,,,,367503540.7,,,,,,,3962416.872,,,,,,,,,,,,,,,,1940130407,,,,,,,,,,1337315.694,,,,,,8048803114
World Bank - International Development Association (IDA),21158296.67,4634481.407,,,,8448694.973,,,,,,,,,,22170446.53,,,,53644883.64,27870049.37,,,67671287.6,,,,91029660.77,28878154.59,4914781.786,,9715529.177,4414328.535,,,,,,4313878.296,43817569.73,4504745.935,,,85840495.48,,,,,,,,,,,9374724.674,,,,,3575043.074,40573563.8,48217752.44,,,3488943.718,,,8852346.38,791522.4884,46227703.85,82557304.23,307160848.1,,,,,,,,,35923879.59,,,,,28565563.49,21830934.77,,,24172141.65,12822544.45,,,,57224676.66,,,73799460.5,,,,,,,,25511549.5,31705110.2,,,,92611685.42,,,,,21884866.23,1832617.803,,,,,,,,,,,1345942.867,,,,,,,112614559.2,19338060.43,,,48930091.97,,,13844623.13,1933532.636,,,,,,,43806270.9,,,7938620.974,,,,,,,25314050.76,203398788.8,,,15815355.93,,5873210.189,,,,,,104724825.5,,,,,,,329266924.2,,,80728635.96,,,2476605561
World Bank - Managed Trust Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,3130826477,859701187.7,125852877.4,182497768.6,593548218.2,145946947.5,303713.4795,18373206.33,,237461086.3,147800228.3,528712783.1,61535619.86,,795921.2018,595497617.5,2505495.042,96941555.96,9023601.734,287868900.5,44689993.44,20381014301,319789466,273989497.4,93200213.5,1560506506,,400421605.4,243734200.1,296014876.5,396662305.4,196636145.6,120560361.6,109969810.9,281344620.5,95994840.07,1248236456,1067135611,32600199.25,2232164629,1309212607,7654655.179,63628365.01,551415134.4,305380030.4,69764934.26,77799726.37,1522332.189,92276837.93,173571521.2,845834878.6,254476250.5,79537988.15,57150951.46,1357498680,459681967.6,122572147.2,23104821.19,71472804.71,61808071.76,340029457.3,396083656,89863.41607,11391579758,10195108.47,255582647.9,83652158.23,89429965.92,43849356.34,2054185724,280958822.5,1103010198,1405150709,107206101.5,2320512072,7176104946,566280257.9,,311689031.2,1088716194,731956128.8,5565206.38,44619386.1,360464751,,137258845.7,207090590.4,133383619.7,245196417.9,94032417.28,556143628.2,17230447.67,55194460.96,229686280.7,415920887.3,71339544.83,33560142.89,432160483.8,71020666.47,137451894.9,67122639.91,638991001.2,748445606.8,109600697.1,116369847.7,316846853.1,151806490.5,27939304.79,16300841.38,604744412.6,806556132.6,196506816.7,140801004.8,106850865.1,6571072.695,277606017.2,211267721.8,330904053.6,524891707.6,9699861.539,95954097.68,123778478.9,7832647.418,1267064836,19784145.36,1396182008,33033833.99,68769535.66,81535432.73,455793428.8,775018491,1244743730,,,469992794.9,45497745.21,38207715.41,219703.7064,381988530,189737917.9,27266966.53,193674671.4,147902095.1,246100600.2,193763191.5,823519955.9,123640307.1,69969584.86,936332947.8,221742555.2,40801649,1915916.538,16046788.05,2307140.452,6250719.285,1082154261,39715916.58,27710985.66,171805064.2,125937558.5,910752527.5,160388773.5,127957677.8,292011429.4,10062056.09,26826973.36,2524800.385,215587804.5,2709300441,17008822.24,4565677.711,763020507.6,1730189611,14859063.27,26187020.44,74041611.64,16012215.93,38965375.01,1171367522,129512815.6,34587533.29,294069463.1,314960738.3,338773298.8,1.01436E+11
