ccode,country,oecd,exrate,year,edulevel2,meanwage,medianwage,yearly_wage_dollar,oecd country,oecd_country,oecd_avg,avg_wage_differential
COL,Colombia,0,1867.39,2010,Secondary,529965.1,433444.3,3405.599,CAN,Canada,28221.78,25452.681
COL,Colombia,0,1867.39,2010,No education,307271.3,257287.5,1974.55,FRA,France,18260.06,19425.55
COL,Colombia,0,1867.39,2010,Post-secondary,1491166,926562.5,9582.354,FRA,France,35017.81,33121.751
COL,Colombia,0,1867.39,2010,Secondary,529965.1,433444.3,3405.599,FRA,France,23269.14,25452.681
COL,Colombia,0,1867.39,2010,No education,307271.3,257287.5,1974.55,DEU,Germany,22262,19425.55
COL,Colombia,0,1867.39,2010,Post-secondary,1491166,926562.5,9582.354,DEU,Germany,52544.73,33121.751
COL,Colombia,0,1867.39,2010,Secondary,529965.1,433444.3,3405.599,DEU,Germany,29806.3,25452.681
COL,Colombia,0,1867.39,2010,No education,307271.3,257287.5,1974.55,GBR,Great Britain,21294,19425.55
COL,Colombia,0,1867.39,2010,Post-secondary,1491166,926562.5,9582.354,GBR,Great Britain,41559.99,33121.751
COL,Colombia,0,1867.39,2010,Secondary,529965.1,433444.3,3405.599,GBR,Great Britain,25725.88,25452.681
COL,Colombia,0,1867.39,2010,No education,307271.3,257287.5,1974.55,NOR,Norway,26903,19425.55
COL,Colombia,0,1867.39,2010,Post-secondary,1491166,926562.5,9582.354,NOR,Norway,36408,33121.751
COL,Colombia,0,1867.39,2010,Secondary,529965.1,433444.3,3405.599,NOR,Norway,30723,25452.681
COL,Colombia,0,1867.39,2010,No education,307271.3,257287.5,1974.55,USA,United States,23649.63,19425.55
COL,Colombia,0,1867.39,2010,Post-secondary,1491166,926562.5,9582.354,USA,United States,52819.74,33121.751
COL,Colombia,0,1867.39,2010,Secondary,529965.1,433444.3,3405.599,USA,United States,28405.18,25452.681
DOM,Dominican Republic,0,36.85,2010,No education,7462.107,5520.415,2429.994,AUS,Australia,16893.59,18970.106
DOM,Dominican Republic,0,36.85,2010,Post-secondary,20606.6,14549.93,6710.426,AUS,Australia,49858.97,35993.679
DOM,Dominican Republic,0,36.85,2010,Secondary,10337.61,7000,3366.386,AUS,Australia,40406.8,25491.894
DOM,Dominican Republic,0,36.85,2010,No education,7462.107,5520.415,2429.994,AUT,Austria,17608.82,18970.106
DOM,Dominican Republic,0,36.85,2010,Post-secondary,20606.6,14549.93,6710.426,AUT,Austria,35370.14,35993.679
DOM,Dominican Republic,0,36.85,2010,Secondary,10337.61,7000,3366.386,AUT,Austria,24308.16,25491.894
DOM,Dominican Republic,0,36.85,2010,No education,7462.107,5520.415,2429.994,CAN,Canada,24329.7,18970.106
DOM,Dominican Republic,0,36.85,2010,Post-secondary,20606.6,14549.93,6710.426,CAN,Canada,38053.46,35993.679
DOM,Dominican Republic,0,36.85,2010,Secondary,10337.61,7000,3366.386,CAN,Canada,28221.78,25491.894
DOM,Dominican Republic,0,36.85,2010,No education,7462.107,5520.415,2429.994,FRA,France,18260.06,18970.106
DOM,Dominican Republic,0,36.85,2010,Post-secondary,20606.6,14549.93,6710.426,FRA,France,35017.81,35993.679
DOM,Dominican Republic,0,36.85,2010,Secondary,10337.61,7000,3366.386,FRA,France,23269.14,25491.894
DOM,Dominican Republic,0,36.85,2010,No education,7462.107,5520.415,2429.994,DEU,Germany,22262,18970.106
DOM,Dominican Republic,0,36.85,2010,Post-secondary,20606.6,14549.93,6710.426,DEU,Germany,52544.73,35993.679
DOM,Dominican Republic,0,36.85,2010,Secondary,10337.61,7000,3366.386,DEU,Germany,29806.3,25491.894
DOM,Dominican Republic,0,36.85,2010,No education,7462.107,5520.415,2429.994,GBR,Great Britain,21294,18970.106
DOM,Dominican Republic,0,36.85,2010,Post-secondary,20606.6,14549.93,6710.426,GBR,Great Britain,41559.99,35993.679
DOM,Dominican Republic,0,36.85,2010,Secondary,10337.61,7000,3366.386,GBR,Great Britain,25725.88,25491.894
DOM,Dominican Republic,0,36.85,2010,No education,7462.107,5520.415,2429.994,NOR,Norway,26903,18970.106
DOM,Dominican Republic,0,36.85,2010,Post-secondary,20606.6,14549.93,6710.426,NOR,Norway,36408,35993.679
DOM,Dominican Republic,0,36.85,2010,Secondary,10337.61,7000,3366.386,NOR,Norway,30723,25491.894
DOM,Dominican Republic,0,36.85,2010,No education,7462.107,5520.415,2429.994,USA,United States,23649.63,18970.106
DOM,Dominican Republic,0,36.85,2010,Post-secondary,20606.6,14549.93,6710.426,USA,United States,52819.74,35993.679
DOM,Dominican Republic,0,36.85,2010,Secondary,10337.61,7000,3366.386,USA,United States,28405.18,25491.894
ECU,Ecuador,0,1,2010,No education,189.9991,150,2279.989,AUS,Australia,16893.59,19120.111
ECU,Ecuador,0,1,2010,Post-secondary,595.4623,400,7145.547,AUS,Australia,49858.97,35558.558
ECU,Ecuador,0,1,2010,Secondary,289.9553,230.0173,3479.463,AUS,Australia,40406.8,25378.817
ECU,Ecuador,0,1,2010,No education,189.9991,150,2279.989,AUT,Austria,17608.82,19120.111
ECU,Ecuador,0,1,2010,Post-secondary,595.4623,400,7145.547,AUT,Austria,35370.14,35558.558
ECU,Ecuador,0,1,2010,Secondary,289.9553,230.0173,3479.463,AUT,Austria,24308.16,25378.817
ECU,Ecuador,0,1,2010,No education,189.9991,150,2279.989,CAN,Canada,24329.7,19120.111
ECU,Ecuador,0,1,2010,Post-secondary,595.4623,400,7145.547,CAN,Canada,38053.46,35558.558
ECU,Ecuador,0,1,2010,Secondary,289.9553,230.0173,3479.463,CAN,Canada,28221.78,25378.817
ECU,Ecuador,0,1,2010,No education,189.9991,150,2279.989,FRA,France,18260.06,19120.111
ECU,Ecuador,0,1,2010,Post-secondary,595.4623,400,7145.547,FRA,France,35017.81,35558.558
ECU,Ecuador,0,1,2010,Secondary,289.9553,230.0173,3479.463,FRA,France,23269.14,25378.817
ECU,Ecuador,0,1,2010,No education,189.9991,150,2279.989,DEU,Germany,22262,19120.111
ECU,Ecuador,0,1,2010,Post-secondary,595.4623,400,7145.547,DEU,Germany,52544.73,35558.558
ECU,Ecuador,0,1,2010,Secondary,289.9553,230.0173,3479.463,DEU,Germany,29806.3,25378.817
ECU,Ecuador,0,1,2010,No education,189.9991,150,2279.989,GBR,Great Britain,21294,19120.111
ECU,Ecuador,0,1,2010,Post-secondary,595.4623,400,7145.547,GBR,Great Britain,41559.99,35558.558
ECU,Ecuador,0,1,2010,Secondary,289.9553,230.0173,3479.463,GBR,Great Britain,25725.88,25378.817
ECU,Ecuador,0,1,2010,No education,189.9991,150,2279.989,NOR,Norway,26903,19120.111
ECU,Ecuador,0,1,2010,Post-secondary,595.4623,400,7145.547,NOR,Norway,36408,35558.558
ECU,Ecuador,0,1,2010,Secondary,289.9553,230.0173,3479.463,NOR,Norway,30723,25378.817
ECU,Ecuador,0,1,2010,No education,189.9991,150,2279.989,USA,United States,23649.63,19120.111
ECU,Ecuador,0,1,2010,Post-secondary,595.4623,400,7145.547,USA,United States,52819.74,35558.558
ECU,Ecuador,0,1,2010,Secondary,289.9553,230.0173,3479.463,USA,United States,28405.18,25378.817
ETH,Ethiopia,0,16.64,2010,No education,259.229,180,186.944,AUS,Australia,16893.59,21213.156
ETH,Ethiopia,0,16.64,2010,Post-secondary,1533.027,1260,1105.548,AUS,Australia,49858.97,41598.557
ETH,Ethiopia,0,16.64,2010,Secondary,716.7095,600,516.8578,AUS,Australia,40406.8,28341.4222
ETH,Ethiopia,0,16.64,2010,No education,259.229,180,186.944,AUT,Austria,17608.82,21213.156
ETH,Ethiopia,0,16.64,2010,Post-secondary,1533.027,1260,1105.548,AUT,Austria,35370.14,41598.557
ETH,Ethiopia,0,16.64,2010,Secondary,716.7095,600,516.8578,AUT,Austria,24308.16,28341.4222
ETH,Ethiopia,0,16.64,2010,No education,259.229,180,186.944,CAN,Canada,24329.7,21213.156
ETH,Ethiopia,0,16.64,2010,Post-secondary,1533.027,1260,1105.548,CAN,Canada,38053.46,41598.557
ETH,Ethiopia,0,16.64,2010,Secondary,716.7095,600,516.8578,CAN,Canada,28221.78,28341.4222
ETH,Ethiopia,0,16.64,2010,No education,259.229,180,186.944,FRA,France,18260.06,21213.156
ETH,Ethiopia,0,16.64,2010,Post-secondary,1533.027,1260,1105.548,FRA,France,35017.81,41598.557
ETH,Ethiopia,0,16.64,2010,Secondary,716.7095,600,516.8578,FRA,France,23269.14,28341.4222
ETH,Ethiopia,0,16.64,2010,No education,259.229,180,186.944,DEU,Germany,22262,21213.156
ETH,Ethiopia,0,16.64,2010,Post-secondary,1533.027,1260,1105.548,DEU,Germany,52544.73,41598.557
ETH,Ethiopia,0,16.64,2010,Secondary,716.7095,600,516.8578,DEU,Germany,29806.3,28341.4222
ETH,Ethiopia,0,16.64,2010,No education,259.229,180,186.944,GBR,Great Britain,21294,21213.156
ETH,Ethiopia,0,16.64,2010,Post-secondary,1533.027,1260,1105.548,GBR,Great Britain,41559.99,41598.557
ETH,Ethiopia,0,16.64,2010,Secondary,716.7095,600,516.8578,GBR,Great Britain,25725.88,28341.4222
ETH,Ethiopia,0,16.64,2010,No education,259.229,180,186.944,NOR,Norway,26903,21213.156
ETH,Ethiopia,0,16.64,2010,Post-secondary,1533.027,1260,1105.548,NOR,Norway,36408,41598.557
ETH,Ethiopia,0,16.64,2010,Secondary,716.7095,600,516.8578,NOR,Norway,30723,28341.4222
ETH,Ethiopia,0,16.64,2010,No education,259.229,180,186.944,USA,United States,23649.63,21213.156
ETH,Ethiopia,0,16.64,2010,Post-secondary,1533.027,1260,1105.548,USA,United States,52819.74,41598.557
ETH,Ethiopia,0,16.64,2010,Secondary,716.7095,600,516.8578,USA,United States,28405.18,28341.4222
GMB,Gambia,0,27.2,2010,No education,3267.05,1500,1441.346,AUS,Australia,16893.59,19958.754
GMB,Gambia,0,27.2,2010,Post-secondary,9946.395,6300,4388.115,AUS,Australia,49858.97,38315.99
GMB,Gambia,0,27.2,2010,Secondary,4812.691,3150,2123.246,AUS,Australia,40406.8,26735.034
GMB,Gambia,0,27.2,2010,No education,3267.05,1500,1441.346,AUT,Austria,17608.82,19958.754
GMB,Gambia,0,27.2,2010,Post-secondary,9946.395,6300,4388.115,AUT,Austria,35370.14,38315.99
GMB,Gambia,0,27.2,2010,Secondary,4812.691,3150,2123.246,AUT,Austria,24308.16,26735.034
GMB,Gambia,0,27.2,2010,No education,3267.05,1500,1441.346,CAN,Canada,24329.7,19958.754
GMB,Gambia,0,27.2,2010,Post-secondary,9946.395,6300,4388.115,CAN,Canada,38053.46,38315.99
GMB,Gambia,0,27.2,2010,Secondary,4812.691,3150,2123.246,CAN,Canada,28221.78,26735.034
GMB,Gambia,0,27.2,2010,No education,3267.05,1500,1441.346,FRA,France,18260.06,19958.754
GMB,Gambia,0,27.2,2010,Post-secondary,9946.395,6300,4388.115,FRA,France,35017.81,38315.99
GMB,Gambia,0,27.2,2010,Secondary,4812.691,3150,2123.246,FRA,France,23269.14,26735.034
GMB,Gambia,0,27.2,2010,No education,3267.05,1500,1441.346,DEU,Germany,22262,19958.754
GMB,Gambia,0,27.2,2010,Post-secondary,9946.395,6300,4388.115,DEU,Germany,52544.73,38315.99
GMB,Gambia,0,27.2,2010,Secondary,4812.691,3150,2123.246,DEU,Germany,29806.3,26735.034
GMB,Gambia,0,27.2,2010,No education,3267.05,1500,1441.346,GBR,Great Britain,21294,19958.754
GMB,Gambia,0,27.2,2010,Post-secondary,9946.395,6300,4388.115,GBR,Great Britain,41559.99,38315.99
GMB,Gambia,0,27.2,2010,Secondary,4812.691,3150,2123.246,GBR,Great Britain,25725.88,26735.034
GMB,Gambia,0,27.2,2010,No education,3267.05,1500,1441.346,NOR,Norway,26903,19958.754
GMB,Gambia,0,27.2,2010,Post-secondary,9946.395,6300,4388.115,NOR,Norway,36408,38315.99
GMB,Gambia,0,27.2,2010,Secondary,4812.691,3150,2123.246,NOR,Norway,30723,26735.034
GMB,Gambia,0,27.2,2010,No education,3267.05,1500,1441.346,USA,United States,23649.63,19958.754
GMB,Gambia,0,27.2,2010,Post-secondary,9946.395,6300,4388.115,USA,United States,52819.74,38315.99
GMB,Gambia,0,27.2,2010,Secondary,4812.691,3150,2123.246,USA,United States,28405.18,26735.034
HND,Honduras,0,18.53,2010,No education,3458.313,1799.363,2239.598,AUS,Australia,16893.59,19160.502
HND,Honduras,0,18.53,2010,Post-secondary,15308.85,10857.14,9913.987,AUS,Australia,49858.97,32790.118
HND,Honduras,0,18.53,2010,Secondary,5836.621,4222.222,3779.787,AUS,Australia,40406.8,25078.493
HND,Honduras,0,18.53,2010,No education,3458.313,1799.363,2239.598,AUT,Austria,17608.82,19160.502
HND,Honduras,0,18.53,2010,Post-secondary,15308.85,10857.14,9913.987,AUT,Austria,35370.14,32790.118
HND,Honduras,0,18.53,2010,Secondary,5836.621,4222.222,3779.787,AUT,Austria,24308.16,25078.493
HND,Honduras,0,18.53,2010,No education,3458.313,1799.363,2239.598,CAN,Canada,24329.7,19160.502
HND,Honduras,0,18.53,2010,Post-secondary,15308.85,10857.14,9913.987,CAN,Canada,38053.46,32790.118
HND,Honduras,0,18.53,2010,Secondary,5836.621,4222.222,3779.787,CAN,Canada,28221.78,25078.493
HND,Honduras,0,18.53,2010,No education,3458.313,1799.363,2239.598,FRA,France,18260.06,19160.502
HND,Honduras,0,18.53,2010,Post-secondary,15308.85,10857.14,9913.987,FRA,France,35017.81,32790.118
HND,Honduras,0,18.53,2010,Secondary,5836.621,4222.222,3779.787,FRA,France,23269.14,25078.493
HND,Honduras,0,18.53,2010,No education,3458.313,1799.363,2239.598,DEU,Germany,22262,19160.502
HND,Honduras,0,18.53,2010,Post-secondary,15308.85,10857.14,9913.987,DEU,Germany,52544.73,32790.118
HND,Honduras,0,18.53,2010,Secondary,5836.621,4222.222,3779.787,DEU,Germany,29806.3,25078.493
HND,Honduras,0,18.53,2010,No education,3458.313,1799.363,2239.598,GBR,Great Britain,21294,19160.502
HND,Honduras,0,18.53,2010,Post-secondary,15308.85,10857.14,9913.987,GBR,Great Britain,41559.99,32790.118
HND,Honduras,0,18.53,2010,Secondary,5836.621,4222.222,3779.787,GBR,Great Britain,25725.88,25078.493
HND,Honduras,0,18.53,2010,No education,3458.313,1799.363,2239.598,NOR,Norway,26903,19160.502
HND,Honduras,0,18.53,2010,Post-secondary,15308.85,10857.14,9913.987,NOR,Norway,36408,32790.118
HND,Honduras,0,18.53,2010,Secondary,5836.621,4222.222,3779.787,NOR,Norway,30723,25078.493
HND,Honduras,0,18.53,2010,No education,3458.313,1799.363,2239.598,USA,United States,23649.63,19160.502
HND,Honduras,0,18.53,2010,Post-secondary,15308.85,10857.14,9913.987,USA,United States,52819.74,32790.118
HND,Honduras,0,18.53,2010,Secondary,5836.621,4222.222,3779.787,USA,United States,28405.18,25078.493
IDN,Indonesia,0,8947,2010,No education,444988.3,300000,596.8325,AUS,Australia,16893.59,20803.2675
IDN,Indonesia,0,8947,2010,Post-secondary,2250416,2000000,3018.329,AUS,Australia,49858.97,39685.776
IDN,Indonesia,0,8947,2010,Secondary,1191187,968000,1597.658,AUS,Australia,40406.8,27260.622
IDN,Indonesia,0,8947,2010,No education,444988.3,300000,596.8325,AUT,Austria,17608.82,20803.2675
IDN,Indonesia,0,8947,2010,Post-secondary,2250416,2000000,3018.329,AUT,Austria,35370.14,39685.776
IDN,Indonesia,0,8947,2010,Secondary,1191187,968000,1597.658,AUT,Austria,24308.16,27260.622
IDN,Indonesia,0,8947,2010,No education,444988.3,300000,596.8325,CAN,Canada,24329.7,20803.2675
IDN,Indonesia,0,8947,2010,Post-secondary,2250416,2000000,3018.329,CAN,Canada,38053.46,39685.776
IDN,Indonesia,0,8947,2010,Secondary,1191187,968000,1597.658,CAN,Canada,28221.78,27260.622
IDN,Indonesia,0,8947,2010,No education,444988.3,300000,596.8325,FRA,France,18260.06,20803.2675
IDN,Indonesia,0,8947,2010,Post-secondary,2250416,2000000,3018.329,FRA,France,35017.81,39685.776
IDN,Indonesia,0,8947,2010,Secondary,1191187,968000,1597.658,FRA,France,23269.14,27260.622
IDN,Indonesia,0,8947,2010,No education,444988.3,300000,596.8325,DEU,Germany,22262,20803.2675
IDN,Indonesia,0,8947,2010,Post-secondary,2250416,2000000,3018.329,DEU,Germany,52544.73,39685.776
IDN,Indonesia,0,8947,2010,Secondary,1191187,968000,1597.658,DEU,Germany,29806.3,27260.622
IDN,Indonesia,0,8947,2010,No education,444988.3,300000,596.8325,GBR,Great Britain,21294,20803.2675
IDN,Indonesia,0,8947,2010,Post-secondary,2250416,2000000,3018.329,GBR,Great Britain,41559.99,39685.776
IDN,Indonesia,0,8947,2010,Secondary,1191187,968000,1597.658,GBR,Great Britain,25725.88,27260.622
IDN,Indonesia,0,8947,2010,No education,444988.3,300000,596.8325,NOR,Norway,26903,20803.2675
IDN,Indonesia,0,8947,2010,Post-secondary,2250416,2000000,3018.329,NOR,Norway,36408,39685.776
IDN,Indonesia,0,8947,2010,Secondary,1191187,968000,1597.658,NOR,Norway,30723,27260.622
IDN,Indonesia,0,8947,2010,No education,444988.3,300000,596.8325,USA,United States,23649.63,20803.2675
IDN,Indonesia,0,8947,2010,Post-secondary,2250416,2000000,3018.329,USA,United States,52819.74,39685.776
IDN,Indonesia,0,8947,2010,Secondary,1191187,968000,1597.658,USA,United States,28405.18,27260.622
JOR,Jordan,0,0.7,2010,No education,235.0805,180,4029.952,AUS,Australia,16893.59,17370.148
JOR,Jordan,0,0.7,2010,Post-secondary,719.27,350,12330.34,AUS,Australia,49858.97,30373.765
JOR,Jordan,0,0.7,2010,Secondary,473.2567,280,8112.972,AUS,Australia,40406.8,20745.308
JOR,Jordan,0,0.7,2010,No education,235.0805,180,4029.952,AUT,Austria,17608.82,17370.148
JOR,Jordan,0,0.7,2010,Post-secondary,719.27,350,12330.34,AUT,Austria,35370.14,30373.765
JOR,Jordan,0,0.7,2010,Secondary,473.2567,280,8112.972,AUT,Austria,24308.16,20745.308
JOR,Jordan,0,0.7,2010,No education,235.0805,180,4029.952,CAN,Canada,24329.7,17370.148
JOR,Jordan,0,0.7,2010,Post-secondary,719.27,350,12330.34,CAN,Canada,38053.46,30373.765
JOR,Jordan,0,0.7,2010,Secondary,473.2567,280,8112.972,CAN,Canada,28221.78,20745.308
JOR,Jordan,0,0.7,2010,No education,235.0805,180,4029.952,FRA,France,18260.06,17370.148
JOR,Jordan,0,0.7,2010,Post-secondary,719.27,350,12330.34,FRA,France,35017.81,30373.765
JOR,Jordan,0,0.7,2010,Secondary,473.2567,280,8112.972,FRA,France,23269.14,20745.308
JOR,Jordan,0,0.7,2010,No education,235.0805,180,4029.952,DEU,Germany,22262,17370.148
JOR,Jordan,0,0.7,2010,Post-secondary,719.27,350,12330.34,DEU,Germany,52544.73,30373.765
JOR,Jordan,0,0.7,2010,Secondary,473.2567,280,8112.972,DEU,Germany,29806.3,20745.308
JOR,Jordan,0,0.7,2010,No education,235.0805,180,4029.952,GBR,Great Britain,21294,17370.148
JOR,Jordan,0,0.7,2010,Post-secondary,719.27,350,12330.34,GBR,Great Britain,41559.99,30373.765
JOR,Jordan,0,0.7,2010,Secondary,473.2567,280,8112.972,GBR,Great Britain,25725.88,20745.308
JOR,Jordan,0,0.7,2010,No education,235.0805,180,4029.952,NOR,Norway,26903,17370.148
JOR,Jordan,0,0.7,2010,Post-secondary,719.27,350,12330.34,NOR,Norway,36408,30373.765
JOR,Jordan,0,0.7,2010,Secondary,473.2567,280,8112.972,NOR,Norway,30723,20745.308
JOR,Jordan,0,0.7,2010,No education,235.0805,180,4029.952,USA,United States,23649.63,17370.148
JOR,Jordan,0,0.7,2010,Post-secondary,719.27,350,12330.34,USA,United States,52819.74,30373.765
JOR,Jordan,0,0.7,2010,Secondary,473.2567,280,8112.972,USA,United States,28405.18,20745.308
KAZ,Kazakasthan,0,145.1,2010,No education,87683.16,71994.63,7251.536,AUS,Australia,16893.59,14148.564
KAZ,Kazakasthan,0,145.1,2010,Post-secondary,204145.8,180206.7,16883.18,AUS,Australia,49858.97,25820.925
KAZ,Kazakasthan,0,145.1,2010,Secondary,144928.1,125476.5,11985.78,AUS,Australia,40406.8,16872.5
KAZ,Kazakasthan,0,145.1,2010,No education,87683.16,71994.63,7251.536,AUT,Austria,17608.82,14148.564
KAZ,Kazakasthan,0,145.1,2010,Post-secondary,204145.8,180206.7,16883.18,AUT,Austria,35370.14,25820.925
KAZ,Kazakasthan,0,145.1,2010,Secondary,144928.1,125476.5,11985.78,AUT,Austria,24308.16,16872.5
KAZ,Kazakasthan,0,145.1,2010,No education,87683.16,71994.63,7251.536,CAN,Canada,24329.7,14148.564
KAZ,Kazakasthan,0,145.1,2010,Post-secondary,204145.8,180206.7,16883.18,CAN,Canada,38053.46,25820.925
KAZ,Kazakasthan,0,145.1,2010,Secondary,144928.1,125476.5,11985.78,CAN,Canada,28221.78,16872.5
KAZ,Kazakasthan,0,145.1,2010,No education,87683.16,71994.63,7251.536,FRA,France,18260.06,14148.564
KAZ,Kazakasthan,0,145.1,2010,Post-secondary,204145.8,180206.7,16883.18,FRA,France,35017.81,25820.925
KAZ,Kazakasthan,0,145.1,2010,Secondary,144928.1,125476.5,11985.78,FRA,France,23269.14,16872.5
KAZ,Kazakasthan,0,145.1,2010,No education,87683.16,71994.63,7251.536,DEU,Germany,22262,14148.564
KAZ,Kazakasthan,0,145.1,2010,Post-secondary,204145.8,180206.7,16883.18,DEU,Germany,52544.73,25820.925
